artist,song,video
 Steely Dan , Only A Fool Would Say That,SK8MAFIA Saturdays
 Puff Daddy , Real Niggas (instrumental),SK8MAFIA Saturdays
 Guns N' Roses , It's So Easy,Girl - Yeah Right!
 Deadmoon , Graveyard,Element Europe - Get Busy Living
 Kelley Stoltz , I Nearly Lost My Mind,Element Europe - Get Busy Living
 Trans Am , Slow Response,Transworld - The Reason
 Fugazi , Smallpox Champion,Transworld - The Reason
 Otis Redding , These Arms of Mine,Alai - Alaikids
 Dead Prez , I'm a African,Alai - Alaikids
 Happy End , Iraira,Traffic - Tokyo Transfer
 Nujabes , Feather (Feat. Cise Starr And Aikin),Traffic - Tokyo Transfer
 Ngoma , Monopoly,Traffic - Tokyo Transfer
 Richard Clapton , Girls On The Avenue,Part & Parcel
 Peggy Honeywell , Sing Sung Saing,Toy Machine - Good & Evil
 T. Rex , 20th Century Boy,Toy Machine - Good & Evil
 Patti Smith , Free Money,Toy Machine - Good & Evil
 Pylon ," Cool
",Welcome To The Pleasuredome
 Fleetwood Mac ," Everywhere
",Welcome To The Pleasuredome
 Riverboat Gamblers , The Curse Of The Ivory Coast,Thrasher - King Of The Road 2006
 Animal Collective ," Bluish
",SOF - Nuestra Patineta
 Eddy Senay , Ain't No Sunshine,MIA - Welcome To MIA
 John Maus , Do Your Best,Girl/Anti Hero - Beauty and The Beast 2
 Prince Paul , MC Hustler,SK8MAFIA Saturdays
 Sly & The Family Stone , If You Want Me To Stay,SK8MAFIA Saturdays
 Public Enemy , The Edge Of Panic,Girl - Yeah Right!
 Talib Kweli , Get By (instrumental),Girl - Yeah Right!
 Decibulli , Megan & Magill,Element Europe - Get Busy Living
 Play Dead , Burning Down,Element Europe - Get Busy Living
 Atiba , Ah Yeah 5,Transworld - The Reason
 Bully , Everybody Come On,Transworld - The Reason
 Bathory , Odens Ride Over Nordland,Foundation - Cataclysmic Abyss
 Mercyful Fate , A Corpse Without a Soul,Foundation - Cataclysmic Abyss
 Yael Naim , New Soul,Alai - Alaikids
 Prodigy , Shed Thy Blood,Alai - Alaikids
 Built To Spill , Time Trap,Osiris - Feed The Need
 Sharon Jones & The Dap,Kings ,Osiris - Feed The Need
 Awol One & Daddy Kev , Rhythm,Madness - Mad World
 The Beautiful Girls , I Thought About You,Madness - Mad World
 Bon Iver , Creature Fear,Part & Parcel
 Sigur Ros , Hoppipolla,Part & Parcel
 Franz Ferdinand , Jacqueline,Toy Machine - Good & Evil
 Ladytron , Blue Jeans,Toy Machine - Good & Evil
 Traveling Wilburys ," Not Alone Anymore
",Welcome To The Pleasuredome
 Young Jeezy ," Trapstar
",Welcome To The Pleasuredome
 Riverboat Gamblers , True Crime,Thrasher - King Of The Road 2006
 The Crumbs , Iggy Can't Lose,Thrasher - King Of The Road 2006
 Lee Mason , Shady Blues,MIA - Welcome To MIA
 The Menahan Street Band , The Traitor,MIA - Welcome To MIA
 Galt MacDermot , Field Of Sorrow,MIA - Welcome To MIA
 Gang Starr , JFK 2 LAX,SK8MAFIA Saturdays
 Journey , Don't Stop Believin',SK8MAFIA Saturdays
 OutKast , Claimin' True,SK8MAFIA Saturdays
 Death In Vegas , Help Yourself,Girl - Yeah Right!
 Nas , Get Down (instrumental),Girl - Yeah Right!
 Nas , Made You Look (instrumental),Girl - Yeah Right!
 Sharp End's , Northern Front,Element Europe - Get Busy Living
 The M's , Big Sound,Element Europe - Get Busy Living
 Bully , 2001,Transworld - The Reason
 Bully , 2001,Transworld - The Reason
 B>On , Roodengotta,Transworld - The Reason
 La Peste , Better Off Dead,Foundation - Cataclysmic Abyss
 Ultimate Spinach , Gilded Lamp of the Cosmos,Foundation - Cataclysmic Abyss
 Yael Naim , New Soul,Alai - Alaikids
 Janis Joplin , Kozmic Blues,Alai - Alaikids
 The Temper Trap , Sweet Disposition,Alai - Alaikids
  Chase & Status , Against All Odds,Smoking Fridays
  The Doors , Road House Blues,Smoking Fridays
 Project Pat ," I Keep That
",Chef - Legend Of Chefs
 Le Quai , Awakening,Element Europe - Rise Up
 Martha & The Muffins , Echo Beach,Element Europe - Rise Up
 The Soledad Brothers , Sights Unseen,Osiris - Feed The Need
 Echo & The Bunnymen , Senseless,Osiris - Feed The Need
 The Pogues , Boys From The County Hell,Osiris - Feed The Need
 DJ Ahmaad , Brejkica,Madness - Mad World
 DL Incognito , Universal Love,Madness - Mad World
 Jonn Ollsin ," ?
",New Balance - A Place In The Sun
 Sonic Youth , Purr,New Balance - A Place In The Sun
 Rodriguez , I Wonder,Part & Parcel
 Kamuran Akkor ," Ikimiz Bir Fidaniz
",Civic Affair
 Rata Blanca , Leyenda del Hada y el Mago,Toy Machine - Good & Evil
 Explosions In The Sky , First Breath After Coma,Toy Machine - Good & Evil
 Talking Heads ," Road to Nowhere
",Welcome To The Pleasuredome
 Del tha Funkee Homosapien ," Miles to Go
",Welcome To The Pleasuredome
 Dead To Me , Don't Lie,Thrasher - King Of The Road 2006
 Bent Outta Shape , Tell Me Why,Thrasher - King Of The Road 2006
 Morrissey , The Last Of The Famous International Playboys,MIA - Welcome To MIA
 Selda Bagcan , Ince Ince Bir Kar Yagar,MIA - Welcome To MIA
 Digital Underground , Freaks Of The Industry,SK8MAFIA Saturdays
 Three 6 Mafia , What Cha Starin' At,SK8MAFIA Saturdays
 Andre Nickatina , Ice Cream,Girl - Yeah Right!
 Michael Jackson , Don't Stop 'Til You Get Enough,Girl - Yeah Right!
 Super Wild herses , Mess Around,Element Europe - Get Busy Living
 456 Productions , track 13,Transworld - The Reason
 MC5 , The American Ruse,Foundation - Cataclysmic Abyss
 Black Sabbath , Snowblind,Foundation - Cataclysmic Abyss
 Portishead , Roads,Alai - Alaikids
 The Flaming Lips , The Yeah Yeah Yeah Song,Alai - Alaikids
  The Rolling Stones , Midnight Rambler,Smoking Fridays
  Jimi Hendrix , Highway Chile,Smoking Fridays
 Geto Boys , G,Element Europe - Rise Up
 Modern English , Tables Turning,Element Europe - Rise Up
 Jay,Z ,Chef - Legend Of Chefs
 Lyriciss ," Superbad
",Chef - Legend Of Chefs
 The Troggs , With A Girl Like You,Osiris - Feed The Need
 13th Floor Elevators , Barnyard Blues,Osiris - Feed The Need
 The Woolies , Who Do You Love?,Osiris - Feed The Need
 The Bar,Kays ,Osiris - Feed The Need
 DL Incognito , Make A Difference,Madness - Mad World
 Damn! , Go To Go,Madness - Mad World
 Butter 08 , Degobrah,Toy Machine - Good & Evil
 Rumah Sakit , Stomachache Due to the Sincere Belief That the Rest of My Band Is Tryin,Toy Machine - Good & Evil
 Lomonardo , Rigel,Civic Affair
 Orchestral Manoeuvres in the Dark ," This Is Helena
",Civic Affair
 Dirt Nasty , Canal Street,Welcome To The Pleasuredome
 Riverboat Gamblers , On Again Off Again,Thrasher - King Of The Road 2006
 Toys That Kill , Peeping On the Peeping Tom,Thrasher - King Of The Road 2006
 Dara Puspita , To Love Somebody,MIA - Welcome To MIA
 Ofege , It's Not Easy,MIA - Welcome To MIA
 Phil Collins , In the Air Tonight,MIA - Welcome To MIA
 Knight Rider , K2000,SK8MAFIA Saturdays
 Ranking Ann , Problem Lady,SK8MAFIA Saturdays
 Bob Marley , Sun Is Shining,SK8MAFIA Saturdays
 Scarface , Born Killer,Girl - Yeah Right!
 Ugly Casanova , Diamonds On The Face Of Evil,Girl - Yeah Right!
 ? , Horror track 1,Transworld - The Reason
 456 Productions , track 6,Transworld - The Reason
 Girlschool , Yeah Right,Foundation - Cataclysmic Abyss
 Dire Straits , Sultans of Swing,Foundation - Cataclysmic Abyss
 Wolf People ," Silbury Sands
",Ontime
 Ultravox ," Hymn
",Ontime
 The Whiskey Foundation ," Bury my Body
",Ontime
 Yuck ," Get Away
",Ontime
  Methodman & Redman , This Is For All My Smokers,Smoking Fridays
 Vive La Fête , Touche Pas,Element Europe - Rise Up
 The Stills , Allison Krausse,Element Europe - Rise Up
 Mr. Dibbs ," With Every Breath
",Sabotage2
 Mr. Dibbs ," Machine
",Sabotage2
 Sons of Slum ," Right on
",Chef - Legend Of Chefs
 Jojo Pellegrino ," Triple Homicide
",Chef - Legend Of Chefs
 Men Without Hats , The Safety Dance,Osiris - Feed The Need
 The Beautiful Girls , Morning Sun,Madness - Mad World
 The Routine , Briefly Happy,Madness - Mad World
 Diamond Wizard , track 2,Toy Machine - Good & Evil
 Mac DeMarco ," Boe Zaah
",Civic Affair
 Ken Griffin ," Marea Baja
",Civic Affair
 Noose ," Fuck Art/ No Respect
",Civic Affair
 FYP , I Egged The President,Thrasher - King Of The Road 2006
 Bent Outta Shape , Dissapointment Rock,Thrasher - King Of The Road 2006
 Dennis Alcapone , The Funky Tang,SK8MAFIA Saturdays
 The Beatles , Eleanor Rigby/Julia (from Love album),SK8MAFIA Saturdays
 Le Tigre , Deceptacon,Girl - Yeah Right!
 John Frusciante , Murderers,Girl - Yeah Right!
 Bully , Show The People,Transworld - The Reason
 456 Productions , track 6,Transworld - The Reason
 Barry White ," Never, Never Gonna Give You Up",Foundation - Cataclysmic Abyss
 Sonic Youth , Incinerate,Foundation - Cataclysmic Abyss
 Stealers Wheel , Stuck in the Middle With You,Foundation - Cataclysmic Abyss
 Blondie ," Hangin' On The Telephone
",Ontime
 Frijid Pink ," Crying Shame
",Ontime
 Spirit In The Sky ," Doctor & The Medics
",Push More
 The Doors ," Break on Through (To the Other Side)
",Push More
 Electric Wizard ," Return Trip
",In The Details
 Unkle ," Outro (Mandatory)
",In The Details
 Jesus Rodriguez , Hate Street Dialogue,Element Europe - Rise Up
 MED , Pressure,Element Europe - Rise Up
  Taki Tsan , Stin Athina,Smoking Fridays
  Muddy Waters , Tom Cat,Smoking Fridays
  Cypress Hill , Boom Biddy Bye Bye,Smoking Fridays
  Black Sabbath , Hand Of Doom,Smoking Fridays
  Darren Leigh Purkiss & Terry Devine,King ,The Journey Of The Beasts
 Black Sheep , The Choice Is Yours,Sabotage2
 Mr. Dibbs ," Two Week Torture
",Sabotage2
 Big Pun ," Twinz
",Sabotage2
 Thundermother ," Boogie Music
",Chef - Legend Of Chefs
 Basement Jaxx ," Hush boy
",Chef - Legend Of Chefs
 Chrome Sparks ," Marijuana
",Double Dip
 Lee Hazelwood & Ann Margaret , Dark End Of The Street,Osiris - Feed The Need
 The Open Mind , Magic Potion,Osiris - Feed The Need
 Run DMC ," Can I Get It, Yo
",Civic Affair
 Boards Of Canada ," Julie And Candy
",Civic Affair
 Nosaj Thing ," Try ft. Toro y Moi
",Civic Affair
 Kammerflimmer Kollektief , Neumond Inselhin,Toy Machine - Good & Evil
 Yes , Heart of the sunrise,Toy Machine - Good & Evil
 Explosions In The Sky , A Poor Man's Memory,Toy Machine - Good & Evil
 FYP , I'm Over Now,Thrasher - King Of The Road 2006
 FYP , I Egged The President,Thrasher - King Of The Road 2006
 Isaac Hayes , Truck Turner,SK8MAFIA Saturdays
 Mac Dre , Gotta Survive,SK8MAFIA Saturdays
 Frank Black , Los Angeles,Girl - Yeah Right!
 Kelective , Here We Go Again,Transworld - The Reason
 Kelective , Eternal You,Transworld - The Reason
 Dead Moon , Dead Moon Night,Foundation - Cataclysmic Abyss
 Electric Wizard , Electric Wizard,Foundation - Cataclysmic Abyss
 Tom Petty ," Mary Jane's Last Dance
",Ontime
 Black Keys ," Little Black Submarines
",Ontime
 2Pac , Still Ballin',Push More
 Fatboy Slim ," Praise You [MONO Radio Edit]
",Push More
 The Hiss ," Clever Kicks
",Push More
 The Black Angels ," Evil Things
",In The Details
 Justice ," Canon (Primo)
",In The Details
 Protassov , Mirrorblind,Element Europe - Rise Up
 Nancy Sinatra & Lee Hazlewood , Summer Wine,Element Europe - Rise Up
 Komeda , A Simple Formality,Element Europe - Rise Up
 Chrispy ," Death Threats
",Sabotage2
  Darren Leigh Purkiss & Terry Devine,King ,The Journey Of The Beasts
  Chris Blackwell , The Big Stare Out,The Journey Of The Beasts
  Christopher Brooke , Wish For It,The Journey Of The Beasts
 Are you feeling it , Teddy bears,Fun Promo
 Action Bronson ," Barry Horowitz
",Chef - Legend Of Chefs
 Phil Ade ," Hollywood (remix)
",Chef - Legend Of Chefs
 Wudos Band , Scorpion Style,Chef - Legend Of Chefs
 Billy Preston ," Will It Go Round In Circles
",Double Dip
 Dr. Dog ," The Old Days
",Double Dip
 OMFO ," Magic Mamaliga
",Double Dip
 Black Sabbath , Embryo,Osiris - Feed The Need
 The House Of Love , Shine On,Osiris - Feed The Need
 Ilya , Disturbet,Toy Machine - Good & Evil
 Old Canes , Life is Grand,Toy Machine - Good & Evil
 FYP , I Dunno What's Happening To Me,Thrasher - King Of The Road 2006
 Riverboat Gamblers , Uh Oh!,Thrasher - King Of The Road 2006
 A Tribe Called Quest , Oh My God,SK8MAFIA Saturdays
 Method Man , Bring The Pain,SK8MAFIA Saturdays
 Spice 1 , Mo' Mail,SK8MAFIA Saturdays
 Fatboy Slim , Don't Let The Man Get You Down,Girl - Yeah Right!
 The Stooges , Down On The Street,Girl - Yeah Right!
 Fhonic , Reck On,Transworld - The Reason
 Innercore Productions , track 9,Transworld - The Reason
 The Testors , Time is Mine,Foundation - Cataclysmic Abyss
 The Catholic Comb , Patriots of Love,Foundation - Cataclysmic Abyss
 Moby ," We're All Made of Stars (iTunes Originals Version)
",Ontime
 Heart ," Crazy On You
",Ontime
 The White Stripes ," The Denial Twist 
",Push More
 The Heavy ," What Makes A Good Man 
",Push More
 Ty Segall ," They Told Me Too
",In The Details
 The Sword ," Fire Lances The Ancient Hyperzephyrians
",In The Details
 Kabanjak , Brain in Dub (feat. Jungle Brothers),Element Europe - Rise Up
 Kabanjak , Clap Your Hands,Element Europe - Rise Up
 Protassov , Cruise Control (feat. Jungle Brothers),Element Europe - Rise Up
 Cypress Hill , I Wanna Get High,"Supreme - ""cherry"""
 Jane's Addiction , Stop,"Supreme - ""cherry"""
 NOFX , Lazy,Sabotage2
 Nirvana ," Breed
",Sabotage2
  Human Pyramids , Tall Tales,The Journey Of The Beasts
  Lincoln Grounds & Thomm Jutz , Delta Detective,The Journey Of The Beasts
 Cashis , Pistol poppin,Fun Promo
 Method man , Release yo delf,Fun Promo
 Foreign beggars Noisia , Contact,Fun Promo
 Tame Impala ," I Don't Really Mind
",Double Dip
 Ennio Morricone ," For A Few Dollars More
",Double Dip
 Foxface & Rody Gorman , Dreamcatcher,Osiris - Feed The Need
 The Jam , That's Entertainment,Osiris - Feed The Need
 Wang Chung , Everybody Have Fun Tonight,Osiris - Feed The Need
 Soledad Brothers , Prodigal Stones Blues,Toy Machine - Good & Evil
 Peggy Honeywell , Peach Skies,Toy Machine - Good & Evil
 FYP , Superbowl Sunday,Thrasher - King Of The Road 2006
 The Crumbs , No Cheese,Thrasher - King Of The Road 2006
 Scott McKenzie , San Francisco,SK8MAFIA Saturdays
 Messy Marv & Mitchy Slick , Diego To The Bay,SK8MAFIA Saturdays
 I.M.P. , Frisco,Girl - Yeah Right!
 Prince , Let's Go Crazy,Girl - Yeah Right!
 Chrime in Choir , track 3,Transworld - The Reason
 456 Productions , track 16,Transworld - The Reason
 456 Productions , track 6,Transworld - The Reason
 DragonForce , My Spirit Will Go On,Foundation - Cataclysmic Abyss
 Bongzilla , Grog Lady,Foundation - Cataclysmic Abyss
 The Beatles , Sgt. Pepper's Lonely Hearts Club Band (Reprise),Ontime
 The Hiss ," Back On The Radio
",Push More
 The Jungle Giants ," Skin to Bone (OFFICIAL)
",Push More
 The Brady Bunch, Good Time Music,Push More
 Bad Religion ," Fuck Armageddon, This Is Hell",Plan B - vAMdalism
 Del Tha Funkee Homosapien , No Need For Alarm,Plan B - vAMdalism
 Black Bananas , Rad Times,Volcom - Europe Summer Tour
 Nine Inch Nails , 34 Ghosts IV,In The Details
 Dion and the Belmonts , The Wanderer,World Industries - Love Child
 Steppenwolf , Born To Be Wild,World Industries - Love Child
 Justice , Stress (Autoremix),Puzzle Video - July/August 2008
 Protassov , Afrodizzyact,Element Europe - Rise Up
 The Cure , Cold,"Supreme - ""cherry"""
 Chief Keef , I Don't Know Dem,"Supreme - ""cherry"""
 Gang Gang Dance , Vacuum,"Supreme - ""cherry"""
 Mr. Dibbs , Chaos / Marilyn Manson ,Sabotage2
 Big L ," Put It On
",Sabotage2
  Darren Leigh Purkiss & Terry Devine,King ,The Journey Of The Beasts
  Paul Ressel , Creation 2,The Journey Of The Beasts
  Richard Lacy , Yarrow,The Journey Of The Beasts
 Heart , Barracuda,Fun Promo
 AC DC , Stiff upper lip,Fun Promo
 Covenant , Unforgiven,Fun Promo
 Gorillaz ," Do Ya Thing (Extended)
",Double Dip
 Nas ," Halftime
",Double Dip
 Red Feathers , Eyes Under Wool,Osiris - Feed The Need
 Bob Dylan , Subterranean Homesick Blues,Osiris - Feed The Need
 Parlour , Jololinine,Toy Machine - Good & Evil
 Rumah Sakit , I Can't See Anything When I Close My Eyes (live),Toy Machine - Good & Evil
 Explosions In the Sky , The Moon Is Down,Toy Machine - Good & Evil
 Yes Father , The Tripper,Thrasher - King Of The Road 2006
 The Jim Carroll Band , People Who Died (acoustic),Thrasher - King Of The Road 2006
 Nas , N.Y. State Of Mind,SK8MAFIA Saturdays
 Da Beatminerz , Mafia Don (feat. Last Emperor),SK8MAFIA Saturdays
 Cover Girls , Show Me,Girl - Yeah Right!
 Bjork , Hyper,Girl - Yeah Right!
 Smashing Punpkins , Perfect,Girl - Yeah Right!
 JEFF The Brotherhood ," Heavy Damage
",Volcom - Europe Summer Tour
 Lovely Bad Things , Icee Creeps,Volcom - Europe Summer Tour
 Diana Ross And The Supremes , Baby Love,World Industries - Love Child
 Tokens , The Lion Sleeps Tonight,World Industries - Love Child
 Leroy Pullins , I'm A Nut,World Industries - Love Child
 P. Blackk ," Godalmighty
",Transworld - Outliers
 Sacri Monti ," Slipping From The Day
",Transworld - Outliers
 Vicarious Bliss , Limousine,Puzzle Video - July/August 2008
 Justice , Phantom,Puzzle Video - July/August 2008
 DJ Jeru , Different Directions,YUX!
 Phil Du Funk , Bijischu,YUX!
 Andrew Eliopoulos , Fuck Fox News,"Supreme - ""cherry"""
 INXS , Never Tear Us Apart,"Supreme - ""cherry"""
 Jamal Smith ," Outerspace
",Sabotage2
 Jeru The Damaja ," You Can't Stop The Prophet
",Sabotage2
 Mr. Dibbs , Chaos / Eddie Noack ,Sabotage2
  Barrie Gledden & Richard Lacy , Chase The Pig,The Journey Of The Beasts
  Adam Drake & Tom Jenkins , Bring The Action,The Journey Of The Beasts
  Darren Leigh Purkiss , Way Of The Warrior,The Journey Of The Beasts
 Rammstien , Zwitter,Fun Promo
 Fat Joe Lil Wayne , Make it rain,Fun Promo
 Wise Blood ," B.I.G. E.G.O.
",Double Dip
 Outkast ," Ain't No Thang
",Double Dip
 Youth Lagoon ," Afternoon
",Double Dip
 Sonna , One Most Memorable,Toy Machine - Good & Evil
 Explosions In The Sky , Your Hand In Mine,Toy Machine - Good & Evil
 Gang Starr , Peace Of Mine,SK8MAFIA Saturdays
 Royal Flush , Worldwide (instrumental),Girl - Yeah Right!
 Morrissey , Sunny,Girl - Yeah Right!
 Sufjan Stevens , In The Devil's Territory,B Block - Hood Rules Apply Don't Watch Me
 Three 6 Mafia , Let's Start A Riot,B Block - Hood Rules Apply Don't Watch Me
 Black Bananas , Rad Times,Volcom - Europe Summer Tour
 The Lovely Black Things , Dinosaur Song,Volcom - Europe Summer Tour
 Black Bananas , Rad Times,Volcom - Europe Summer Tour
 The New Amsterdams , Vignette,TA-HA
 Three Dog Night , Black And White,World Industries - Love Child
 Hair Soundtrack , Hair,World Industries - Love Child
 Deadxbeat , Agua,Transworld - Outliers
 White Fence ," Destroy Everything Now
",Transworld - Outliers
 Busy P , To Protect and Entertain (feat. Murs),Puzzle Video - July/August 2008
 Mr Flash , Over The Top,Puzzle Video - July/August 2008
 Seismo , Diana,YUX!
 Seismo , Gestdändals,YUX!
 Mr. Dero Feat. DJ Compact , This Evening (Old School Mix),YUX!
 Chef Raekwon , Glaciers of Ice,"Supreme - ""cherry"""
 Group Home , Baby Pa,"Supreme - ""cherry"""
 Salem , 666,"Supreme - ""cherry"""
 Cannibal Ox , Iron Galaxy,Sabotage2
 Mr. Dibbs ," Judeas Transmission
",Sabotage2
  Alex Arcoleo , Thunder Approaches,The Journey Of The Beasts
  Chris Blackwell , Shine,The Journey Of The Beasts
 Kanye West , Can't Tell Me Nothing,Fun Promo
 Matisyahu , Got no water,Fun Promo
 Rolling Stones ," You Can't Always Get What You Want
",Double Dip
 The Concretes , Chico,Double Dip
 Death Grips , No Love,Double Dip
 Explosions In The Sky , The Only Moment We Were Alone,Toy Machine - Good & Evil
 De La Soul , Itsoweezee,SK8MAFIA Saturdays
 Smiff N Wessun , Wreckognize,SK8MAFIA Saturdays
 Death In Vegas , Help Yourself,Girl - Yeah Right!
 Cat Power , He War,Girl - Yeah Right!
 Andre Nickatina , Gingerbread Man,B Block - Hood Rules Apply Don't Watch Me
 OGC , Sound Bwoy Bureill (remix),B Block - Hood Rules Apply Don't Watch Me
 The Lovely Black Things , You Done Messed Up,Volcom - Europe Summer Tour
 Black Bananas , Rad Times,Volcom - Europe Summer Tour
 Stevie Wonder , I Wish,World Industries - Love Child
 The Supremes , Love Child,World Industries - Love Child
 Flaming Lips , Free Radicals,TA-HA
 Morcheeba , Daylight Robbery,TA-HA
 Sister Nancy , Bam Bam,TA-HA
 Hager Brothers ," Hammers 2
",Transworld - Outliers
 Deadxbeat , Nitenite,Transworld - Outliers
 Gil Scott Heron, Angel Dust,TENS
 Suff Daddy , Only Right,YUX!
 BF , Can't Bring Me Down,YUX!
 Aphrodite's Child ," The Four Horsemen
",Give Some Pain
 Aphrodite's Child ," The Beast
",Give Some Pain
 Atmosphere , Scapegoat,Sabotage2
 DJ Shadow , The Number Song,Sabotage2
  Helen Jane Long , Little Meteor,The Journey Of The Beasts
  Undestroyable Beasts , Fuzz me,The Journey Of The Beasts
 Slick Rick , I Run This,SK8MAFIA Saturdays
 Common , The People,SK8MAFIA Saturdays
 Large Pro , Love Wit U,SK8MAFIA Saturdays
 Cat Power , Speak For Me,Girl - Yeah Right!
 Redman , Rock Da Spot,B Block - Hood Rules Apply Don't Watch Me
 Black Bananas , Overpass,Volcom - Europe Summer Tour
 Heavy Cream , Run Free,Volcom - Europe Summer Tour
 The Osmonds , One Bad Apple,World Industries - Love Child
 Ray Charles , America The Beautiful,World Industries - Love Child
 Ariel Pink , Bright Lit Blue Skies,TA-HA
 T,Rex ,TA-HA
 The Silver Skeleton Band ," Bijoux
",Transworld - Outliers
 Badbadnotgood ," Triangle
",Transworld - Outliers
 Suff Daddy , Hunk Shit,YUX!
 Don Monnet , Time,YUX!
 Suff Daddy , Another Banger,YUX!
 Seismo , Kresso,YUX!
 The Crystals , He Hit Me,TENS
 Canned Heat , Poor Moon,TENS
 Mashmakhan , As The Years Go By,TENS
 Black Sabbath ," The Straightener
",Give Some Pain
 Melody's Echo Chamber ," Be Proud Of Your Kids
",Give Some Pain
  David O'Brien & Gareth Johnson , Stratosphere,The Journey Of The Beasts
  Darren Leigh Purkiss , Spirit Of Indo,The Journey Of The Beasts
 MF Doom , '?',SK8MAFIA Saturdays
 DF Muggs ," Advance Pawns (feat. GZA, RZA, Raekwon & Sen Dog)",SK8MAFIA Saturdays
 Mr. Doctor , 40 Oz and Chronic Dice,B Block - Hood Rules Apply Don't Watch Me
 Eazy,E ,B Block - Hood Rules Apply Don't Watch Me
 The Black Angels , Haunting At 1300 Mckinley,TA-HA
 Violent Femmes , I Hear the Rain,TA-HA
 Tame Impala , I Don't Really Mind,TA-HA
 Deadxbeat , Getwithmi,Transworld - Outliers
 Ty Segall ," The Drag
",Transworld - Outliers
 BF , Issac,YUX!
 Suff Daddy , Like Daddy,YUX!
 DJ Jeru , The Journey,YUX!
 Budgie , Breadfan,TENS
 The Kinks , Dead End street,TENS
 One T ," The Magic Key
",Give Some Pain
 Broadcast ," Corporeal
",Give Some Pain
 Rick Ross ," So Sophisticated 
",Give Some Pain
  Philip Guyler & Lily Bell , Sophie(instrumental and normal version),The Journey Of The Beasts
  Tony Anderson , Rise (ft. Salomon Ligthelm),The Journey Of The Beasts
 Ghostface Killah , Wu Banga 101,SK8MAFIA Saturdays
 Lil Eazy,E ,SK8MAFIA Saturdays
 Inspectah Deck , Movas & Shakers,SK8MAFIA Saturdays
 Lil Wayne , I'm A D,B Block - Hood Rules Apply Don't Watch Me
 Mike Jones , They Don't Know,B Block - Hood Rules Apply Don't Watch Me
 Flight of the Conchords , Friends,TA-HA
 Young Jeezy , Mr.17.5,TA-HA
 Deadxbeat , Mellowoutgurl,Transworld - Outliers
 Dinosaur Jr ," The Leper
",Transworld - Outliers
 Modest Mouse ," Tundra/Desert
",Transworld - Outliers
 BF , Da Shiznit,YUX!
 DJ Slime , Windmühlen (Instrumental),YUX!
 The Animals , Don't Bring Me Down,TENS
 Os Mutantes ," A Minha Menina
",Give Some Pain
  Tom Rosenthal & Alex Brenchley , Keep Me Warm,The Journey Of The Beasts
 Mr. Doctor , 40 Oz and Chronic Dice,SK8MAFIA Saturdays
 Raekwon , Heaven & Hell,SK8MAFIA Saturdays
 Big L , Put It On,B Block - Hood Rules Apply Don't Watch Me
 Shyheim , Little Rascals,B Block - Hood Rules Apply Don't Watch Me
 Young Jeezy , Black Dreams,TA-HA
 Tame Impala , Lucidity,TA-HA
 The White Stripes , I'm Slowly Turning Into You,TA-HA
 P. Blackk ," Roll Call
",Transworld - Outliers
 Chris Fader , Sinead,YUX!
 Craig Mack feat. Notorious B.I.G ," Flava In Ya Ear
",Give Some Pain
 Bob Dylan ," Changing Of The Guard
",Give Some Pain
 The Pharcyde , Runnin' (album mix),SK8MAFIA Saturdays
 Curtis Mayfield , Little Child Runnin' Wild,SK8MAFIA Saturdays
 Wu,Tang Clan ,B Block - Hood Rules Apply Don't Watch Me
 Dezmatic and Rick Whispers , Fuck B,B Block - Hood Rules Apply Don't Watch Me
 M.I.A. , Bucky Done Gone,B Block - Hood Rules Apply Don't Watch Me
 DJ Jeru , Daydreamer,YUX!
 Inina Gap , 20 Years of Jazz,YUX!
 BF , It's A Long Way Home,YUX!
 Mac Demarco ," Rock And Roll Night Club
",Give Some Pain
 Steve Skinner ," Merry Go Round
",Give Some Pain
 Jedi Mind Tricks , I Against I,SK8MAFIA Saturdays
 The Game , Young California Life,SK8MAFIA Saturdays
 DJ Jeru , Ice Cream Castles,YUX!
 DJ Jeru , This Was 1980,YUX!
 The Black Angels ," The Sniper
",Give Some Pain
 John Lennon , Give Peace A Chance,Give Some Pain
 Ya Boy , Aqua Man That Hoe (Souljah Boy Diss),SK8MAFIA Saturdays
 Sly & The Family Stone , I Want To Take You Higher,SK8MAFIA Saturdays
 Aesop Rock , None Shall Pass,SK8MAFIA Saturdays
 Ludacris , Grew Up A Srew Up (feat. Young Jeezy),SK8MAFIA Saturdays
 Fleetwood Mac , Little Lies,SK8MAFIA Saturdays
 Jimi Hendrix , Ain't No Telling,SK8MAFIA Saturdays
 Capital Letters , Run Run Run,SK8MAFIA Saturdays
 Notorious B.I.G. , Real Niggas,SK8MAFIA Saturdays
 Shyne , Shyne (instrumental),SK8MAFIA Saturdays
 Rocket From The Tombs , 30 Seconds Over Tokyo,Zero - Strange World
 Tiger B. Smith , Tiger Rock,Zero - Strange World
 The Pussywarmers , I Saw The Devil,Warriors - Come Out To Skate
 Barry De Vorzon , Theme From The Warriors,Warriors - Come Out To Skate
 Jedi Mind Tricks , Saviorself,SK8MAFIA Saturdays
 Wu,Tang Clan ,SK8MAFIA Saturdays
 Flower Travelin' Band , Satori Part 1,Zero - Strange World
 Drunk Injuns , Blood Drips Like Passing Thoughts,Zero - Strange World
 Da Youngstas ," Crews Pop
",CCTV Surveillance Master Tape
 Wolfmother , Woman,Warriors - Come Out To Skate
